price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus_furnished,furnishingstatus_semi-furnished,furnishingstatus_unfurnished,RealPrice,PredictedPrice
4060000,5900,4,2,2,0,0,1,0,0,1,0,0,0,1,4060000.0,3611452.2
6650000,6500,3,2,3,1,0,0,0,1,0,1,1,0,0,6650000.0,7841049.5
3710000,4040,2,1,1,1,0,0,0,0,0,0,0,1,0,3710000.0,3328158.8
6440000,5000,3,1,2,1,0,0,0,1,0,0,0,1,0,6440000.0,4287365.0
2800000,3960,3,1,1,1,0,0,0,0,0,0,1,0,0,2800000.0,3828729.5
4900000,6720,3,1,1,1,0,0,0,0,0,0,0,0,1,4900000.0,3312003.8
5250000,8520,3,1,1,1,0,0,0,1,2,0,1,0,0,5250000.0,4552618.0
4543000,4990,4,2,2,1,1,1,0,0,0,1,1,0,0,4543000.0,5659301.5
2450000,3240,2,1,1,0,1,0,0,0,1,0,0,0,1,2450000.0,3066263.8
3353000,2700,3,1,1,0,0,0,0,0,0,0,1,0,0,3353000.0,3692797.8
10150000,8580,4,3,4,1,0,0,0,1,2,1,0,1,0,10150000.0,10776982.0
2660000,3934,2,1,1,1,0,0,0,0,0,0,0,0,1,2660000.0,2750290.0
3360000,3720,2,1,1,0,0,0,0,1,0,0,0,0,1,3360000.0,2772167.8
3360000,3100,3,1,2,0,0,1,0,0,0,0,0,1,0,3360000.0,3615453.2
2275000,3970,3,1,2,1,0,1,0,0,0,0,0,0,1,2275000.0,3219470.2
2660000,3630,3,3,2,0,1,0,0,0,0,0,0,0,1,2660000.0,4081364.8
2660000,2000,2,1,2,1,0,0,0,0,0,0,0,1,0,2660000.0,3173958.8
7350000,6000,3,1,2,1,0,0,0,1,1,0,0,0,1,7350000.0,4165988.5
2940000,5850,3,1,2,1,0,1,0,0,1,0,0,0,1,2940000.0,3866053.0
2870000,6000,2,1,1,1,0,0,0,0,0,0,0,1,0,2870000.0,3901677.0
6720000,5020,3,1,4,1,0,0,0,1,0,1,0,0,1,6720000.0,5782637.0
5425000,6825,3,1,1,1,1,1,0,1,0,1,0,1,0,5425000.0,5717048.5
1890000,3649,2,1,1,1,0,0,0,0,0,0,0,0,1,1890000.0,2732381.0
5250000,3800,3,1,2,1,1,1,0,0,1,1,0,0,1,5250000.0,4632112.0
4193000,8250,3,1,1,1,0,1,0,0,3,0,0,1,0,4193000.0,5659432.0
12250000,9960,3,2,2,1,0,1,0,0,2,1,0,1,0,12250000.0,7727295.0
3080000,3090,2,1,1,1,1,1,0,0,0,0,0,0,1,3080000.0,3591874.0
5110000,3000,3,2,2,1,1,1,0,0,0,0,1,0,0,5110000.0,4543658.0
9800000,13200,3,1,2,1,0,1,0,1,2,1,1,0,0,9800000.0,8687517.0
2520000,3000,2,1,2,1,0,0,0,0,0,0,1,0,0,2520000.0,3844253.8
6790000,4000,3,2,2,1,0,1,0,1,0,1,0,1,0,6790000.0,7020226.5
3500000,3120,3,1,2,1,0,0,0,0,1,0,0,0,1,3500000.0,3525064.2
6650000,6000,3,2,3,1,1,0,0,1,0,0,1,0,0,6650000.0,6524708.5
2940000,6615,3,1,2,1,0,0,0,0,0,0,0,1,0,2940000.0,4037558.5
3325000,4775,4,1,2,1,0,0,0,0,0,0,0,0,1,3325000.0,3748038.8
4200000,4600,3,2,2,1,0,0,0,1,1,0,0,1,0,4200000.0,6283827.5
4900000,4646,3,1,2,1,1,1,0,0,2,0,0,1,0,4900000.0,4865840.0
3290000,3180,4,1,2,1,0,1,0,1,0,0,0,0,1,3290000.0,4168740.5
3500000,3480,3,1,1,0,0,0,0,1,0,0,0,0,1,3500000.0,2948317.2
2380000,2787,4,2,2,1,0,0,0,0,0,0,1,0,0,2380000.0,4209084.0
5495000,7980,3,1,1,1,0,0,0,0,2,0,0,1,0,5495000.0,4500246.0
3675000,3630,2,1,1,1,0,0,0,1,0,0,0,0,1,3675000.0,2789413.5
6650000,6420,3,2,3,1,0,0,0,1,0,1,1,0,0,6650000.0,7823532.5
4907000,4200,3,1,2,1,0,0,0,0,1,0,1,0,0,4907000.0,4319952.5
3150000,6750,2,1,1,1,0,0,0,0,0,0,0,1,0,3150000.0,4040566.0
4480000,5885,2,1,1,1,0,0,0,1,1,0,0,0,1,4480000.0,3246942.0
6580000,6000,3,2,4,1,0,0,0,1,0,0,0,1,0,6580000.0,6854509.0
5740000,4640,4,1,2,1,0,0,0,0,1,0,0,1,0,5740000.0,4166982.0
3003000,8050,2,1,1,1,0,0,0,0,0,0,0,0,1,3003000.0,3224619.0
1820000,3000,2,1,1,1,0,1,0,0,2,0,0,0,1,1820000.0,2940118.0
8400000,7475,3,2,4,1,0,0,0,1,2,0,0,0,1,8400000.0,8390370.0
2450000,3000,2,1,1,1,0,0,0,0,1,0,0,0,1,2450000.0,2917624.2
4270000,7770,2,1,1,1,0,0,0,0,1,0,1,0,0,4270000.0,4302841.5
4007500,4500,3,1,2,0,0,1,0,1,0,0,0,1,0,4007500.0,3744307.2
3234000,3640,4,1,2,1,0,1,0,0,0,0,0,0,1,3234000.0,3692702.0
1750000,2910,3,1,1,0,0,0,0,0,0,0,1,0,0,1750000.0,3737795.5
9800000,5750,3,2,4,1,1,0,0,1,1,1,0,0,1,9800000.0,8275039.5
2100000,2400,3,1,2,1,0,0,0,0,0,0,0,0,1,2100000.0,3191457.2
4340000,6450,4,1,2,1,0,0,0,0,0,0,0,1,0,4340000.0,4265639.0
3045000,3800,2,1,1,1,0,0,0,0,0,0,0,0,1,3045000.0,2741003.0
3850000,3180,2,2,1,1,0,1,0,0,2,0,0,1,0,3850000.0,4175508.5
3500000,2135,3,2,2,0,0,0,0,0,0,0,0,0,1,3500000.0,2864716.2
4753000,6440,2,1,1,1,0,0,0,1,3,0,0,1,0,4753000.0,4268464.5
3080000,4960,2,1,1,1,0,1,0,1,0,0,0,0,1,3080000.0,3262815.2
4550000,5360,3,1,2,1,0,0,0,0,2,1,0,0,1,4550000.0,4466913.0
6510000,3760,3,1,2,1,0,0,1,0,2,0,0,1,0,6510000.0,4570322.5
6685000,6600,2,2,4,1,0,1,0,0,0,1,1,0,0,6685000.0,6824459.0
5110000,3000,3,1,2,1,0,1,0,0,0,0,0,0,1,5110000.0,3152247.8
4550000,8400,4,1,4,1,0,0,0,0,3,0,0,0,1,4550000.0,7063344.0
6650000,5700,3,1,1,1,1,1,0,1,2,1,1,0,0,6650000.0,6029244.5
3640000,2850,3,2,2,0,0,1,0,0,0,1,0,0,1,3640000.0,3336574.8
